:START_ID,:END_ID
120113,120113007
120113,120113100
120113,120113101
120113,120113102
120113,120113103
120113,120113104
120113,120113106
120113,120113107
120113,120113108
120113,120113111
120113,120113400
120113,120113401
120113,120113402
120113,120113403
120113,120113404
120113,120113500
120113,120113501
120114,120114001
120114,120114002
120114,120114003
120114,120114004
120114,120114005
120114,120114006
120114,120114101
120114,120114102
120114,120114103
120114,120114104
120114,120114105
120114,120114106
120114,120114107
120114,120114108
120114,120114109
120114,120114110
120114,120114111
120114,120114112
120114,120114113
120114,120114114
120114,120114115
120114,120114116
120114,120114117
120114,120114118
120114,120114119
120114,120114120
120114,120114121
120114,120114122
120114,120114123
120114,120114124
120114,120114400
120114,120114401
120114,120114402
120114,120114403
120114,120114404
120114,120114405
120114,120114406
120114,120114500
120115,120115001
120115,120115002
120115,120115003
120115,120115004
120115,120115005
120115,120115006
120115,120115007
120115,120115008
120115,120115101
120115,120115103
120115,120115104
120115,120115105
120115,120115106
120115,120115107
120115,120115108
120115,120115111
120115,120115113
120115,120115115
120115,120115119
120115,120115120
120115,120115121
120115,120115123
120115,120115124
120115,120115125
120115,120115453
120115,120115454
120115,120115455
120115,120115500
120115,120115501
120115,120115502
120116,120116001
120116,120116005
120116,120116006
120116,120116007
120116,120116008
120116,120116009
120116,120116011
120116,120116031
120116,120116032
120116,120116033
120116,120116051
120116,120116053
120116,120116054
120116,120116100
120116,120116135
120116,120116156
120116,120116157
120116,120116158
120116,120116400
120116,120116401
120116,120116402
120116,120116403
120116,120116404
120116,120116405
120116,120116406
120116,120116409
120116,120116410
120117,120117100
120117,120117102
120117,120117103
120117,120117104
120117,120117105
120117,120117106
120117,120117107
120117,120117109
120117,120117110
120117,120117111
120117,120117112
120117,120117204
120117,120117205
120117,120117206
120117,120117400
120117,120117401
120117,120117402
120117,120117403
120117,120117451
120117,120117452
120117,120117500
120118,120118100
120118,120118101
120118,120118102
120118,120118103
120118,120118104
120118,120118105
120118,120118106
120118,120118107
120118,120118108
120118,120118109
120118,120118110
120118,120118111
120118,120118112
120118,120118113
120118,120118114
120118,120118115
120118,120118200
120118,120118201
120118,120118400
120118,120118402
120118,120118403
120119,120119001
120119,120119100
120119,120119101
120119,120119102
120119,120119103
120119,120119104
120119,120119105
120119,120119106
120119,120119108
120119,120119109
120119,120119111
120119,120119112
120119,120119113
120119,120119114
120119,120119115
120119,120119116
120119,120119117
120119,120119118
120119,120119119
120119,120119120
120119,120119121
120119,120119122
120119,120119123
120119,120119124
120119,120119125
120119,120119126
120119,120119203
120119,120119400
130102,130102001
130102,130102002
130102,130102003
130102,130102004
130102,130102005
130102,130102007
130102,130102010
130102,130102011
130102,130102012
130102,130102013
130102,130102014
130102,130102015
130102,130102100
130102,130102101
130102,130102102
130102,130102103
130104,130104001
130104,130104002
130104,130104004
130104,130104005
130104,130104007
130104,130104008
130104,130104009
130104,130104010
130104,130104011
130104,130104012
130104,130104013
130104,130104014
130104,130104015
130104,130104016
130104,130104017
130104,130104018
130104,130104019
130105,130105001
130105,130105003
130105,130105004
130105,130105005
130105,130105006
130105,130105007
130105,130105008
130105,130105009
130105,130105010
130105,130105011
130105,130105012
130105,130105100
130105,130105101
130105,130105201
130105,130105202
130107,130107001
130107,130107002
130107,130107100
130107,130107101
130107,130107200
130108,130108001
130108,130108002
130108,130108003
130108,130108004
130108,130108005
130108,130108006
130108,130108007
130108,130108008
130108,130108009
130108,130108101
130109,130109100
130109,130109101
130109,130109102
130109,130109103
130109,130109104
130109,130109105
130109,130109107
130109,130109108
130109,130109109
130109,130109110
130109,130109111
130109,130109112
130109,130109200
130109,130109500
130110,130110100
130110,130110101
130110,130110102
130110,130110103
130110,130110104
130110,130110105
130110,130110106
130110,130110107
130110,130110108
130110,130110200
130110,130110201
130110,130110202
130110,130110500
130111,130111100
130111,130111103
130111,130111104
130111,130111105
130111,130111200
130111,130111201
130111,130111202
130121,130121100
130121,130121101
130121,130121102
130121,130121103
130121,130121104
130121,130121105
130121,130121106
130121,130121107
130121,130121108
130121,130121109
130121,130121200
130121,130121201
130121,130121202
130121,130121203
130121,130121204
130121,130121205
130121,130121206
130123,130123001
130123,130123002
130123,130123100
130123,130123102
130123,130123103
130123,130123200
130123,130123201
130123,130123202
130123,130123203
130123,130123204
130125,130125100
130125,130125101
130125,130125102
130125,130125103
130125,130125200
130125,130125201
130125,130125202
130125,130125203
130125,130125204
130125,130125205
130125,130125206
130125,130125207
130125,130125208
130125,130125209
130125,130125210
130125,130125400
130126,130126100
130126,130126101
130126,130126102
130126,130126103
130126,130126104
130126,130126105
130126,130126200
130126,130126201
130126,130126202
130126,130126203
130126,130126204
130126,130126205
130126,130126206
130126,130126207
130126,130126208
130127,130127100
130127,130127101
130127,130127102
130127,130127103
130127,130127201
130128,130128100
130128,130128101
130128,130128102
130128,130128200
130128,130128201
130128,130128203
130129,130129100
130129,130129101
130129,130129200
130129,130129201
130129,130129202
130129,130129203
130129,130129204
130129,130129205
130129,130129206
130129,130129207
130129,130129208
130130,130130100
130130,130130101
130130,130130102
130130,130130103
130130,130130104
130130,130130105
130130,130130200
130130,130130201
130130,130130202
130130,130130203
130130,130130204
130131,130131100
130131,130131101
130131,130131102
130131,130131103
130131,130131104
130131,130131105
130131,130131106
130131,130131107
130131,130131108
130131,130131109
130131,130131110
130131,130131111
130131,130131200
130131,130131201
130131,130131202
130131,130131203
130131,130131204
130131,130131205
130131,130131207
130131,130131209
130131,130131210
130131,130131211
130131,130131212
130132,130132001
130132,130132100
130132,130132101
130132,130132102
130132,130132103
130132,130132104
130132,130132105
130132,130132106
130132,130132107
130132,130132201
130132,130132202
130132,130132204
130132,130132205
130132,130132206
130132,130132207
130132,130132208
130133,130133100
130133,130133101
130133,130133102
130133,130133103
130133,130133104
130133,130133105
130133,130133106
130133,130133200
130133,130133201
130133,130133202
130133,130133203
130183,130183100
130183,130183101
130183,130183102
130183,130183103
130183,130183104
130183,130183105
130183,130183106
130183,130183107
130183,130183108
130183,130183201
130184,130184001
130184,130184101
130184,130184102
130184,130184103
130184,130184104
130184,130184105
130184,130184106
130184,130184107
130184,130184108
130184,130184200
130184,130184201
130184,130184202
130202,130202001
130202,130202002
130202,130202003
130202,130202004
130202,130202005
130202,130202006
130202,130202007
130202,130202008
130202,130202009
130202,130202102
130202,130202200
130203,130203001
130203,130203002
130203,130203003
130203,130203004
130203,130203005
130203,130203006
130203,130203007
130203,130203008
130203,130203009
130203,130203010
130203,130203011
130203,130203100
130203,130203200
130204,130204001
130204,130204002
130204,130204003
130204,130204004
130204,130204007
130204,130204100
130204,130204101
130204,130204201
130204,130204202
130204,130204203
130205,130205001
130205,130205002
130205,130205003
130205,130205005
130205,130205006
130205,130205100
130205,130205101
130205,130205102
130205,130205103
130205,130205104
130205,130205105
130207,130207103
130207,130207104
130207,130207105
130207,130207106
130207,130207107
130207,130207108
130207,130207109
130207,130207110
130207,130207111
130207,130207113
130207,130207114
130207,130207115
130207,130207201
130207,130207202
130207,130207203
130208,130208001
130208,130208002
130208,130208003
130208,130208100
130208,130208102
130208,130208103
130208,130208104
130208,130208105
130208,130208106
130208,130208109
130208,130208110
130208,130208111
130208,130208112
130208,130208113
130208,130208114
130208,130208115
130208,130208116
130208,130208117
130208,130208118
130208,130208119
130208,130208202
130208,130208205
130208,130208208
130209,130209100
130209,130209112
130209,130209113
130209,130209401
130209,130209403
130209,130209404
130209,130209405
130209,130209406
130209,130209407
130209,130209408
130209,130209409
130209,130209410
130209,130209411
130209,130209412
130209,130209413
130209,130209450
130209,130209451
130209,130209452
130223,130223001
130223,130223002
130223,130223003
130223,130223004
130223,130223102
130223,130223103
130223,130223104
130223,130223105
130223,130223106
130223,130223107
130223,130223108
130223,130223109
130223,130223110
130223,130223111
130224,130224001
130224,130224100
130224,130224101
130224,130224102
130224,130224103
130224,130224104
130224,130224105
130224,130224106
130224,130224107
130224,130224108
130224,130224109
130224,130224110
130224,130224111
130224,130224114
130224,130224115
130224,130224116
130224,130224117
130225,130225001
130225,130225100
130225,130225101
130225,130225102
130225,130225104
130225,130225105
130225,130225106
130225,130225107
130225,130225108
130225,130225109
130225,130225110
130225,130225201
130225,130225202
130225,130225203
130225,130225453
130225,130225454
130227,130227001
130227,130227100
130227,130227101
130227,130227102
130227,130227103
130227,130227104
130227,130227105
130227,130227106
130227,130227107
130227,130227108
130227,130227200
130227,130227201
130227,130227202
130227,130227203
130227,130227204
130227,130227205
130227,130227206
130227,130227207
130227,130227450
130229,130229001
130229,130229100
130229,130229101
130229,130229102
130229,130229103
130229,130229104
130229,130229105
130229,130229106
130229,130229107
130229,130229108
130229,130229109
130229,130229110
130229,130229111
130229,130229112
130229,130229113
130229,130229114
130229,130229115
130229,130229201
130229,130229203
130229,130229204
130229,130229205
130281,130281001
130281,130281002
130281,130281100
130281,130281101
130281,130281102
130281,130281103
130281,130281104
130281,130281105
130281,130281106
130281,130281107
130281,130281108
130281,130281109
130281,130281110
130281,130281111
130281,130281112
130281,130281200
130281,130281201
130281,130281202
130281,130281203
130281,130281204
130281,130281205
130281,130281206
130281,130281207
130281,130281208
130281,130281209
130281,130281210
130281,130281211
130283,130283100
130283,130283101
130283,130283102
130283,130283103
130283,130283104
130283,130283105
130283,130283106
130283,130283107
130283,130283108
130283,130283109
130283,130283110
130283,130283111
130283,130283200
130283,130283201
130283,130283202
130283,130283203
130283,130283204
130283,130283205
130283,130283206
130302,130302001
130302,130302002
130302,130302003
130302,130302004
130302,130302005
130302,130302006
130302,130302007
130302,130302008
130302,130302009
130302,130302010
130302,130302100
130302,130302101
130302,130302102
130302,130302103
130302,130302104
130302,130302105
130302,130302106
130302,130302107
130302,130302402
130302,130302403
130303,130303001
130303,130303002
130303,130303003
130303,130303004
130303,130303100
130303,130303101
130303,130303102
130304,130304001
130304,130304002
130304,130304100
130304,130304101
130304,130304103
130306,130306001
130306,130306100
130306,130306101
130306,130306102
130306,130306105
130306,130306106
130306,130306200
130306,130306202
130321,130321100
130321,130321101
130321,130321102
130321,130321103
130321,130321104
130321,130321105
130321,130321106
130321,130321107
130321,130321108
130321,130321109
130321,130321110
130321,130321200
130321,130321201
130321,130321202
130321,130321203
130321,130321206
130321,130321208
130321,130321209
130321,130321210
130321,130321211
130321,130321212
130321,130321213
130321,130321214
130321,130321217
130321,130321218
130322,130322100
130322,130322101
130322,130322102
130322,130322103
130322,130322104
130322,130322105
130322,130322106
130322,130322107
130322,130322108
130322,130322109
130322,130322110
130322,130322201
130322,130322202
130322,130322203
130322,130322206
130322,130322207
130324,130324100
130324,130324101
130324,130324102
130324,130324103
130324,130324104
130324,130324105
130324,130324106
130324,130324107
130324,130324108
130324,130324200
130324,130324201
130324,130324203
130324,130324400
130402,130402001
130402,130402002
130402,130402003
130402,130402004
130402,130402005
130402,130402006
130402,130402007
130402,130402008
130402,130402009
130402,130402010
130402,130402011
130402,130402101
130402,130402200
130403,130403001
130403,130403002
130403,130403003
130403,130403004
130403,130403005
130403,130403006
130403,130403007
130403,130403008
130403,130403009
130403,130403010
130403,130403101
130403,130403200
130403,130403205
130404,130404001
130404,130404002
130404,130404003
130404,130404004
130404,130404005
130404,130404006
130404,130404007
130404,130404100
130404,130404200
130404,130404201
130406,130406001
130406,130406100
130406,130406101
130406,130406102
130406,130406103
130406,130406104
130406,130406105
130406,130406106
130406,130406107
130406,130406108
130406,130406200
130421,130421100
130421,130421102
130421,130421200
130421,130421201
130421,130421202
130421,130421203
130421,130421212
130423,130423100
130423,130423101
130423,130423102
130423,130423103
130423,130423104
130423,130423200
130423,130423201
130423,130423202
130423,130423203
130423,130423204
130423,130423205
130423,130423206
130423,130423207
130423,130423208
130424,130424100
130424,130424101
130424,130424102
130424,130424103
130424,130424200
130424,130424201
130424,130424202
130424,130424203
130424,130424204
130425,130425100
130425,130425101
130425,130425102
130425,130425103
130425,130425104
130425,130425105
130425,130425106
130425,130425107
130425,130425201
130425,130425202
130425,130425203
130425,130425205
130425,130425206
130425,130425207
130425,130425208
130425,130425209
130425,130425210
130425,130425211
130425,130425212
130425,130425213
130426,130426001
130426,130426100
130426,130426101
130426,130426102
130426,130426103
130426,130426104
130426,130426105
130426,130426106
130426,130426107
130426,130426108
130426,130426200
130426,130426201
130426,130426202
130426,130426203
130426,130426204
130426,130426205
130426,130426206
130426,130426207
130427,130427100
130427,130427101
130427,130427102
130427,130427103
130427,130427104
130427,130427105
130427,130427106
130427,130427107
130427,130427108
130427,130427200
130427,130427202
130427,130427203
130427,130427204
130427,130427205
130427,130427206
130427,130427207
130427,130427208
130427,130427209
130428,130428100
130428,130428101
130428,130428102
130428,130428103
130428,130428202
130428,130428203
130428,130428204
130428,130428205
130428,130428206
130429,130429100
130429,130429101
130429,130429102
130429,130429103
130429,130429104
130429,130429105
130429,130429106
130429,130429200
130429,130429201
130429,130429203
130429,130429204
130429,130429205
130429,130429206
130429,130429207
130429,130429208
130429,130429209
130429,130429210
130429,130429211
130429,130429213
130430,130430100
130430,130430101
130430,130430102
130430,130430103
130430,130430201
130430,130430203
130430,130430204
130431,130431100
130431,130431101
130431,130431102
130431,130431103
130431,130431200
130431,130431201
130431,130431202
130432,130432100
130432,130432101
130432,130432102
130432,130432103
130432,130432201
130432,130432202
130432,130432204
130433,130433100
130433,130433101
130433,130433102
130433,130433103
130433,130433200
130433,130433201
130433,130433202
130433,130433203
130434,130434100
130434,130434101
130434,130434102
130434,130434103
130434,130434104
130434,130434105
130434,130434106
130434,130434107
130434,130434108
130434,130434109
130434,130434201
130434,130434202
130434,130434203
130434,130434204
130434,130434205
130434,130434207
130434,130434208
130434,130434209
130434,130434210
130434,130434212
130434,130434213
130435,130435100
130435,130435101
130435,130435102
130435,130435103
130435,130435104
130435,130435105
130435,130435200
130435,130435201
130435,130435203
130435,130435204
130481,130481100
130481,130481101
130481,130481102
130481,130481103
130481,130481104
130481,130481105
130481,130481106
130481,130481107
130481,130481108
130481,130481109
130481,130481110
130481,130481111
130481,130481112
130481,130481200
130481,130481201
130481,130481202
130481,130481203
130481,130481204
130481,130481205
130481,130481206
130481,130481207
130481,130481208
130502,130502001
130502,130502002
130502,130502003
130502,130502004
130502,130502005
130502,130502006
130502,130502100
130502,130502200
130503,130503001
130503,130503002
130503,130503003
130503,130503004
130503,130503005
130503,130503006
130503,130503007
130503,130503008
130503,130503100
130503,130503101
130521,130521103
130521,130521104
130521,130521105
130521,130521106
130521,130521107
130521,130521108
130521,130521109
130521,130521110
130521,130521111
130521,130521112
130521,130521200
130521,130521201
130521,130521202
130521,130521203
130521,130521204
130521,130521206
130522,130522100
130522,130522101
130522,130522102
130522,130522103
130522,130522200
130522,130522201
130522,130522203
130522,130522205
130523,130523100
130523,130523101
130523,130523102
130523,130523103
130523,130523104
130523,130523200
130523,130523203
130523,130523204
130523,130523205
130524,130524100
130524,130524101
130524,130524102
130524,130524200
130524,130524202
130524,130524203
130525,130525100
130525,130525101
130525,130525102
130525,130525103
130525,130525104
130525,130525105
130525,130525200
130525,130525201
130525,130525202
130525,130525203
130525,130525204
130525,130525205
130525,130525400
130526,130526100
130526,130526101
130526,130526102
130526,130526103
130526,130526200
130526,130526201
130526,130526202
130526,130526204
130527,130527100
130527,130527101
130527,130527102
130527,130527200
130527,130527201
130527,130527202
130527,130527203
130527,130527204
130528,130528001
130528,130528100
130528,130528101
130528,130528102
130528,130528103
130528,130528104
130528,130528105
130528,130528106
130528,130528107
130528,130528108
130528,130528109
130528,130528110
130528,130528200
130528,130528202
130528,130528205
130529,130529100
130529,130529101
130529,130529102
130529,130529103
130529,130529104
130529,130529105
130529,130529106
130529,130529200
130529,130529201
130529,130529202
130530,130530100
130530,130530101
130530,130530200
130530,130530201
130530,130530202
130530,130530203
130531,130531100
130531,130531101
130531,130531102
130531,130531103
130531,130531200
130531,130531201
130531,130531202
130531,130531204
130532,130532001
130532,130532100
130532,130532101
130532,130532102
130532,130532200
130532,130532201
130532,130532202
130532,130532203
130533,130533100
130533,130533101
130533,130533102
130533,130533103
130533,130533104
130533,130533105
130533,130533106
130533,130533107
130533,130533108
130533,130533202
130533,130533203
130533,130533204
130533,130533206
130533,130533207
130533,130533209
130533,130533210
130534,130534100
130534,130534101
130534,130534102
130534,130534103
130534,130534104
130534,130534105
130535,130535100
130535,130535101
130535,130535102
130535,130535103
130535,130535104
130535,130535105
130535,130535200
130535,130535203
130535,130535204
130535,130535400
130581,130581001
130581,130581002
130581,130581003
130581,130581004
130581,130581100
130581,130581101
130581,130581102
130581,130581103
130581,130581104
130581,130581105
130581,130581200
130581,130581201
130581,130581202
130581,130581203
130581,130581204
130582,130582001
130582,130582002
130582,130582003
130582,130582004
130582,130582005
130582,130582101
130582,130582102
130582,130582103
130582,130582104
130582,130582201
130582,130582202
130582,130582203
